id,英文名稱,課程名稱,週次,該週開始日期,該週結束日期,註冊人數,購買人數,完課人數
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week1,2017-09-14,2017-09-20,15,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week2,2017-09-21,2017-09-27,33,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week3,2017-09-28,2017-10-04,543,4,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week4,2017-10-05,2017-10-11,58,1,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week5,2017-10-12,2017-10-18,42,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week6,2017-10-19,2017-10-25,96,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week7,2017-10-26,2017-11-01,45,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week8,2017-11-02,2017-11-08,17,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week9,2017-11-09,2017-11-15,18,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week10,2017-11-16,2017-11-22,28,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week11,2017-11-23,2017-11-29,22,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Week12,2017-11-30,2017-12-06,1,0,0
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week1,2017-01-19,2017-01-25,1,0,1
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week2,2017-01-26,2017-02-01,0,0,0
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week3,2017-02-02,2017-02-08,0,0,0
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week4,2017-02-09,2017-02-15,0,0,0
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week5,2017-02-16,2017-02-22,0,0,0
