id,英文名稱,課程名稱,天數,日期,註冊人數,購買人數,完課人數
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day1,2017-09-14,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day2,2017-09-15,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day3,2017-09-16,3,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day4,2017-09-17,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day5,2017-09-18,5,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day6,2017-09-19,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day7,2017-09-20,0,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day8,2017-09-21,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day9,2017-09-22,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day10,2017-09-23,2,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day11,2017-09-24,8,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day12,2017-09-25,7,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day13,2017-09-26,10,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day14,2017-09-27,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day15,2017-09-28,8,1,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day16,2017-09-29,289,1,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day17,2017-09-30,107,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day18,2017-10-01,75,2,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day19,2017-10-02,30,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day20,2017-10-03,21,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day21,2017-10-04,13,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day22,2017-10-05,12,1,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day23,2017-10-06,5,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day24,2017-10-07,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day25,2017-10-08,8,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day26,2017-10-09,14,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day27,2017-10-10,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day28,2017-10-11,14,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day29,2017-10-12,6,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day30,2017-10-13,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day31,2017-10-14,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day32,2017-10-15,7,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day33,2017-10-16,9,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day34,2017-10-17,5,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day35,2017-10-18,7,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day36,2017-10-19,5,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day37,2017-10-20,14,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day38,2017-10-21,6,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day39,2017-10-22,6,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day40,2017-10-23,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day41,2017-10-24,38,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day42,2017-10-25,23,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day43,2017-10-26,10,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day44,2017-10-27,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day45,2017-10-28,7,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day46,2017-10-29,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day47,2017-10-30,11,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day48,2017-10-31,5,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day49,2017-11-01,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day50,2017-11-02,2,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day51,2017-11-03,3,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day52,2017-11-04,2,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day53,2017-11-05,2,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day54,2017-11-06,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day55,2017-11-07,3,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day56,2017-11-08,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day57,2017-11-09,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day58,2017-11-10,0,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day59,2017-11-11,3,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day60,2017-11-12,5,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day61,2017-11-13,6,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day62,2017-11-14,2,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day63,2017-11-15,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day64,2017-11-16,3,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day65,2017-11-17,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day66,2017-11-18,2,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day67,2017-11-19,2,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day68,2017-11-20,8,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day69,2017-11-21,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day70,2017-11-22,5,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day71,2017-11-23,2,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day72,2017-11-24,2,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day73,2017-11-25,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day74,2017-11-26,1,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day75,2017-11-27,9,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day76,2017-11-28,4,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day77,2017-11-29,3,0,0
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Day78,2017-11-30,1,0,0
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Day1,2017-01-19,1,0,1
